id,gameboard
13,"6,nil,9,nil,nil,nil,nil,nil,8,nil,nil,nil,7,nil,1,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,4,nil,2,nil,nil,nil,nil,nil,3,nil,nil,3,nil,nil,nil,nil,5,nil,nil,nil,1,nil,5,nil,nil,nil,7,nil,8,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,"
14,"nil,nil,nil,nil,nil,nil,4,1,nil,9,nil,nil,3,nil,nil,nil,nil,nil,3,nil,nil,nil,2,nil,nil,nil,nil,nil,4,8,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,2,nil,1,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,2,nil,nil,nil,nil,6,nil,7,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
15,"1,nil,nil,nil,4,8,nil,nil,nil,nil,5,nil,nil,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,3,nil,nil,nil,nil,nil,5,7,nil,2,nil,nil,8,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,1,6,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,"
16,"7,nil,8,nil,nil,nil,3,nil,nil,nil,nil,nil,6,nil,1,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,nil,2,5,3,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,9,nil,nil,9,nil,5,nil,nil,nil,nil,2,nil,nil,nil,nil,7,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
17,"4,nil,3,nil,nil,nil,nil,nil,2,nil,nil,nil,6,nil,1,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,7,9,nil,2,nil,nil,nil,3,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,4,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,7,nil,nil,nil,nil,nil,5,nil,"
18,"nil,1,nil,6,2,nil,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,4,3,nil,nil,nil,nil,9,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,8,nil,nil,nil,5,nil,nil,nil,nil,nil,4,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,6,nil,nil,nil,9,nil,nil,nil,nil,2,nil,nil,8,nil,nil,nil,nil,7,nil,nil,nil,"
19,"4,nil,3,nil,nil,nil,nil,nil,2,nil,nil,nil,6,nil,1,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,9,7,nil,2,nil,nil,nil,3,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,4,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,7,nil,nil,nil,nil,nil,5,nil,"
20,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,9,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,9,nil,nil,nil,4,nil,nil,nil,nil,nil,7,nil,"
21,"nil,nil,nil,nil,2,nil,nil,4,nil,nil,7,nil,nil,nil,6,nil,nil,nil,nil,1,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,3,nil,nil,7,nil,nil,4,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,1,nil,3,8,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,"
22,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,9,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,7,nil,nil,nil,1,nil,nil,nil,nil,nil,9,nil,"
23,"nil,nil,nil,nil,4,nil,nil,nil,1,nil,3,nil,6,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,9,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,7,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,2,6,nil,5,nil,nil,nil,9,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,nil,nil,"
24,"3,nil,7,nil,nil,4,nil,2,nil,nil,nil,nil,1,nil,nil,8,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,nil,nil,9,nil,nil,5,nil,8,nil,nil,nil,nil,nil,nil,4,nil,6,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,1,2,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,"
25,"nil,nil,nil,9,nil,3,1,nil,nil,6,nil,7,nil,nil,nil,nil,8,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,6,nil,nil,2,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,8,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,3,nil,nil,5,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,9,"
26,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,4,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,7,nil,nil,nil,9,nil,nil,nil,nil,nil,6,nil,"
27,"7,nil,4,nil,nil,nil,nil,nil,2,nil,nil,nil,8,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,6,nil,nil,1,nil,nil,2,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,3,7,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,5,nil,nil,nil,8,nil,nil,nil,nil,nil,6,nil,"
28,"7,nil,4,nil,nil,nil,nil,nil,2,nil,nil,nil,8,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,6,nil,nil,1,nil,nil,2,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,3,7,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,6,nil,nil,nil,9,nil,nil,nil,nil,nil,5,nil,"
29,"nil,nil,1,nil,nil,nil,nil,nil,7,nil,nil,nil,8,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,2,6,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,7,4,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,4,nil,5,nil,8,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,"
30,"2,nil,nil,nil,4,nil,5,nil,nil,nil,1,nil,nil,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,8,nil,2,nil,7,nil,3,nil,9,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,4,nil,nil,nil,5,nil,6,nil,nil,nil,nil,nil,7,nil,nil,nil,9,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,"
31,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,9,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,7,nil,nil,nil,4,nil,nil,nil,nil,nil,9,nil,"
32,"nil,8,nil,nil,nil,nil,nil,6,3,nil,nil,nil,nil,4,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,8,nil,3,5,nil,nil,7,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,nil,2,nil,9,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,5,4,nil,nil,nil,nil,nil,nil,nil,nil,"
33,"nil,9,nil,3,nil,nil,nil,2,nil,nil,nil,nil,nil,7,nil,5,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,7,nil,8,6,nil,nil,4,nil,nil,nil,nil,nil,9,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,6,3,4,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
34,"nil,nil,nil,9,nil,3,1,nil,nil,5,nil,7,nil,nil,nil,nil,8,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,6,nil,nil,nil,nil,nil,nil,5,nil,nil,2,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,8,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,4,nil,nil,nil,nil,nil,3,nil,nil,nil,nil,9,"
35,"5,nil,8,nil,nil,nil,nil,nil,7,nil,nil,nil,9,nil,1,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,4,nil,6,nil,nil,nil,nil,nil,3,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,2,nil,3,nil,nil,nil,1,nil,7,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,"
36,"nil,nil,nil,nil,nil,nil,nil,7,1,nil,2,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,3,nil,nil,nil,7,nil,9,nil,6,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,8,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,nil,nil,nil,2,5,nil,nil,6,nil,nil,nil,1,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
37,"nil,nil,nil,nil,nil,nil,4,1,nil,6,nil,nil,3,nil,nil,nil,nil,nil,3,nil,nil,nil,2,nil,nil,nil,nil,nil,4,9,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,2,nil,1,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,6,nil,nil,nil,nil,7,nil,8,nil,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,3,nil,nil,nil,nil,"
38,"5,nil,nil,6,nil,3,nil,nil,nil,nil,2,nil,nil,nil,nil,9,8,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,1,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,3,nil,nil,nil,nil,6,7,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,8,nil,2,5,nil,4,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
39,"nil,nil,nil,nil,nil,nil,4,1,nil,9,nil,nil,3,nil,nil,nil,nil,nil,3,nil,nil,nil,5,nil,nil,nil,nil,nil,4,8,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,2,nil,1,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,2,nil,nil,nil,nil,5,nil,7,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
40,"7,nil,4,nil,nil,nil,nil,nil,2,nil,nil,nil,8,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,6,nil,nil,1,nil,nil,2,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,3,7,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,8,nil,nil,nil,nil,nil,9,nil,"
41,"4,nil,3,5,nil,nil,nil,2,nil,nil,nil,nil,nil,1,6,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,9,5,nil,nil,nil,nil,nil,3,nil,nil,8,nil,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,7,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,"
42,"nil,5,nil,4,nil,9,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,1,2,nil,nil,nil,nil,nil,3,nil,nil,7,nil,3,nil,nil,nil,2,nil,nil,nil,nil,nil,5,nil,nil,nil,9,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,8,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,"
43,"nil,nil,nil,nil,nil,nil,4,1,nil,9,nil,nil,2,nil,nil,nil,nil,nil,3,nil,nil,nil,5,nil,nil,nil,nil,nil,4,8,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,2,nil,1,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,5,nil,nil,nil,nil,3,nil,7,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,"
44,"5,nil,7,nil,nil,nil,nil,3,nil,nil,nil,nil,nil,6,1,nil,nil,nil,1,nil,8,nil,nil,nil,nil,nil,nil,6,2,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,6,nil,4,3,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,"
45,"7,nil,nil,nil,nil,nil,4,8,nil,nil,nil,nil,6,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,nil,nil,3,nil,nil,6,nil,5,2,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,3,nil,nil,nil,nil,nil,1,nil,6,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,7,nil,nil,"
46,"6,nil,nil,1,nil,nil,nil,8,nil,nil,5,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,8,nil,nil,nil,6,nil,nil,9,nil,nil,nil,nil,7,nil,nil,nil,nil,2,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,3,nil,9,nil,nil,nil,nil,2,nil,5,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,"
47,"nil,nil,nil,9,nil,3,nil,5,nil,2,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,9,nil,nil,1,nil,nil,nil,nil,nil,nil,4,nil,nil,6,nil,nil,nil,4,3,nil,nil,nil,nil,nil,nil,4,nil,nil,6,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,1,nil,nil,nil,nil,2,nil,nil,nil,nil,"
48,"nil,6,nil,nil,5,nil,4,nil,3,nil,2,nil,1,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,4,nil,3,nil,nil,nil,6,nil,nil,7,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,nil,nil,5,nil,6,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,"
49,"6,nil,9,nil,nil,nil,nil,nil,8,nil,nil,nil,3,nil,1,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,4,nil,2,nil,nil,nil,nil,nil,3,nil,nil,7,nil,nil,nil,nil,5,nil,nil,nil,1,nil,5,nil,nil,nil,7,nil,8,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,"
50,"4,nil,3,nil,nil,nil,nil,nil,2,nil,nil,nil,7,nil,1,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,1,8,nil,2,nil,nil,nil,3,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,4,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,6,nil,nil,nil,6,nil,nil,nil,nil,nil,5,nil,"
51,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,4,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,7,nil,nil,nil,1,nil,nil,nil,nil,nil,9,nil,"
52,"nil,nil,nil,nil,3,nil,nil,7,1,5,nil,nil,4,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,nil,6,nil,nil,4,nil,nil,nil,3,8,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,8,nil,nil,1,nil,6,nil,nil,5,nil,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,"
53,"4,nil,3,nil,nil,nil,nil,nil,2,nil,nil,nil,7,nil,1,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,8,1,nil,2,nil,nil,nil,3,nil,nil,nil,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,4,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,6,nil,nil,nil,6,nil,nil,nil,nil,nil,5,nil,"
54,"nil,nil,nil,nil,nil,nil,nil,9,1,nil,7,nil,nil,3,nil,nil,nil,nil,8,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,5,nil,nil,nil,3,nil,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,1,6,nil,nil,nil,5,nil,nil,nil,4,nil,2,nil,nil,nil,nil,7,nil,nil,nil,nil,nil,8,nil,nil,"
55,"4,8,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,7,1,nil,2,nil,nil,nil,nil,nil,nil,nil,7,nil,5,nil,nil,nil,nil,6,nil,nil,nil,nil,2,nil,nil,8,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,7,6,nil,nil,nil,3,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,"
56,"7,nil,8,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,9,1,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,6,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,3,nil,7,nil,nil,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,5,nil,9,nil,6,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,1,nil,2,nil,nil,nil,nil,nil,8,nil,nil,"
57,"nil,nil,3,6,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,nil,8,nil,9,nil,nil,nil,nil,nil,7,nil,nil,8,6,nil,4,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,1,nil,5,nil,2,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,1,7,nil,nil,nil,1,nil,nil,nil,9,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,2,nil,"
58,"2,nil,8,nil,5,nil,nil,nil,nil,nil,nil,nil,7,nil,nil,nil,4,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,5,nil,nil,nil,2,nil,9,nil,nil,nil,nil,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,nil,nil,7,nil,1,nil,4,nil,6,nil,nil,nil,nil,nil,nil,nil,3,nil,2,nil,1,nil,nil,nil,nil,nil,nil,nil,"
59,"8,nil,5,nil,nil,nil,nil,nil,2,nil,nil,nil,9,nil,1,nil,nil,nil,3,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,7,nil,nil,4,nil,nil,2,nil,nil,nil,5,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,6,nil,nil,nil,nil,3,8,nil,nil,nil,nil,nil,4,nil,nil,nil,nil,6,nil,nil,nil,9,nil,nil,nil,nil,nil,7,nil,"
60,"4,nil,3,5,nil,nil,nil,2,nil,nil,nil,nil,nil,6,1,nil,nil,nil,7,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,8,9,5,nil,nil,nil,nil,nil,3,nil,nil,8,nil,nil,2,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,4,nil,nil,nil,7,nil,nil,9,nil,nil,nil,nil,6,nil,nil,nil,1,nil,nil,nil,nil,nil,nil,nil,"
